"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","geometry"
"2365",0.973958313,"XY",2024-01-15,2024,1,2024,"S82-032",c(907449, 6376460)
"2367",0.994791687,"XX",2024-01-15,2024,1,2024,"S88-047",c(1056697, 6307104)
"2368",0.99000001,"XY",2024-01-15,2024,1,2024,"S75-071",c(989285, 6527528)
"2369",0.979166687,"XY",2024-01-15,2024,1,2024,"S69-68",c(991890, 6349620)
"2370",0.927083313,"XX",2024-01-15,2024,1,2024,"S86-078",c(906427, 6374413)
"2371",0.515625,"XX",2024-01-15,2024,1,2024,"S86-064",c(967561, 6340020)
"2372",0.875,"XY",2024-01-15,2024,1,2024,"S82-114",c(1010967, 6365109)
"2373",0.895833313,"XX",2024-01-15,2024,1,2024,"S64-38",c(943618, 6480446)
"2375",1,"XY",2024-01-16,2024,1,2024,"S86-006",c(944678, 6480311)
"2376",0.989583313,"XY",2024-01-16,2024,1,2024,"S86-060",c(889058, 6330084)
"2377",1,"XY",2024-01-16,2024,1,2024,"S86-023",c(938695, 6588134)
"2378",0.78125,"XX",2024-01-16,2024,1,2024,"S86-033",c(741480, 6337806)
"2379",0.8125,"XY",2024-01-16,2024,1,2024,"S65-35",c(950501, 6408655)
"2380",0.958333313,"XY",2024-01-16,2024,1,2024,"S86-092",c(944655, 6480279)
"2381",0.510416687,"XX",2024-01-16,2024,1,2024,"S86-071",c(924214, 6286550)
"2382",1,"XX",2024-01-16,2024,1,2024,"S86-051",c(1008854, 6355945)
"2384",0.666666687,"NI",2024-01-16,2024,1,2024,"S86-076",c(1005900, 6301366)
"2385",1,"XX",2024-01-16,2024,1,2024,"S86-072",c(1001885, 6303844)
"2386",0.828125,"XY",2024-01-16,2024,1,2024,"S86-006",c(944332, 6480327)
"2387",0.90625,"XY",2024-01-16,2024,1,2024,"S86-088",c(944375, 6480181)
"2388",1,"XX",2024-01-16,2024,1,2024,"S86-123",c(923750, 6479170)
"2389",0.848958313,"XY",2024-01-16,2024,1,2024,"S87-081",c(922892, 6418725)
"2390",0.859375,"XY",2024-01-16,2024,1,2024,"S87-007",c(923143, 6416926)
"2391",0.9375,"XY",2024-01-16,2024,1,2024,"S87-008",c(922892, 6418725)
"2392",0.609375,"XY",2024-01-16,2024,1,2024,"S85-007",c(741480, 6337806)
"2393",0.973958313,"XX",2024-01-16,2024,1,2024,"S86-033",c(741432, 6337830)
"2394",0.932291687,"XX",2024-01-16,2024,1,2024,"S55-24",c(924914, 6290412)
"2395",0.875,"XY",2024-01-17,2024,1,2024,"S86-122",c(938330, 6455000)
"2397",0.817708313,"XY",2024-01-17,2024,1,2024,"S80-056",c(943770, 6291149)
"2398",1,"XY",2024-01-17,2024,1,2024,"S86-065",c(863806, 6412788)
"2399",0.598958313,"XX",2024-01-17,2024,1,2024,"S86-077",c(869709, 6415988)
"2400",0.697916687,"XY",2024-01-17,2024,1,2024,"S84-004",c(886260, 6403269)
"2401",0.911458313,"XY",2024-01-17,2024,1,2024,"S86-068",c(945337, 6343538)
"2402",0.96875,"XY",2024-01-17,2024,1,2024,"S86-034",c(965870, 6505215)
"2403",0.635416687,"XY",2024-01-17,2024,1,2024,"S86-132",c(990778, 6508954)
"2404",0.96875,"XX",2024-01-17,2024,1,2024,"S86-121",c(933279, 6433313)
"2405",0.78125,"XX",2024-01-17,2024,1,2024,"S75-059",c(886260, 6403269)
"2406",0.939999998,"XY",2024-01-18,2024,1,2024,"S88-040",c(936857, 6441103)
"2407",1,"XX",2024-01-18,2024,1,2024,"S86-039",c(921272, 6287324)
"2408",0.822916687,"XY",2024-01-18,2024,1,2024,"S87-049",c(1060309, 6330991)
"2409",0.677083313,"XX",2024-01-18,2024,1,2024,"S86-033",c(741484, 6337821)
"2410",0.833333313,"XX",2024-01-18,2024,1,2024,"S79-112",c(1071575, 6339905)
"2411",0.885416687,"XX",2024-01-18,2024,1,2024,"S87-050",c(1074028, 6337977)
"2412",1,"XX",2024-01-18,2024,1,2024,"S87-001",c(1013440, 6341417)
"2414",1,"XY",2024-01-18,2024,1,2024,"S86-020",c(1005432, 6298374)
"2415",0.839999974,"XX",2024-01-18,2024,1,2024,"S81-136",c(937739, 6441074)
"2416",0.828125,"XX",2024-01-18,2024,1,2024,"S86-039",c(920889, 6287874)
"2418",0.708333313,"NI",2024-01-18,2024,1,2024,"S86-061",c(920919, 6287890)
"2419",0.744791687,"XY",2024-01-18,2024,1,2024,"S86-001",c(879611, 6323805)
"2420",0.854166687,"XY",2024-01-18,2024,1,2024,"S86-001",c(878407, 6322989)
"2421",0.84375,"XY",2024-01-18,2024,1,2024,"S86-001",c(878407, 6322989)
"2422",0.541666687,"XX",2024-01-18,2024,1,2024,"S81-136",c(937032, 6441191)
"2423",1,"XX",2024-01-18,2024,1,2024,"S86-063",c(921331, 6286941)
"2424",0.930000007,"XX",2024-01-18,2024,1,2024,"S81-136",c(937517, 6440790)
"2425",1,"XX",2024-01-18,2024,1,2024,"S86-005",c(920578, 6302298)
"2427",1,"XX",2024-01-18,2024,1,2024,"S86-005",c(919323, 6299981)
"2428",0.96875,"XY",2024-01-18,2024,1,2024,"S83-023",c(919807, 6299189)
"2429",1,"XY",2024-01-18,2024,1,2024,"S86-102",c(920538, 6301229)
"2430",0.994791687,"XY",2024-01-18,2024,1,2024,"S86-101",c(921131, 6302268)
"2431",0.859375,"XY",2024-01-18,2024,1,2024,"S85-010",c(959715, 6327654)
"2432",0.989583313,"XX",2024-01-18,2024,1,2024,"S85-016",c(991240, 6324728)
"2434",1,"XX",2024-01-18,2024,1,2024,"S86-005",c(920763, 6300942)
"2436",0.932291687,"XY",2024-01-19,2024,1,2024,"S77-032",c(889382, 6412051)
"2437",1,"XX",2024-01-19,2024,1,2024,"S73-025",c(1002343, 6341199)
"2438",1,"XY",2024-01-19,2024,1,2024,"S77-032",c(889671, 6411805)
